CURSO_ACAD;COD_CENTRO;NOM_CENTRO;REG_JUR;COD_TIPO;DESC_TIPO_ES;DESC_TIPO_VA;DIRECCION;LOCALIDAD;COD_MUN;NOM_MUN_OF;COD_PROV;NOM_PROV_ES;NOM_PROV_VA;COD_ENSE;DESC_ENSE_ES;DESC_ENSE_VA;COD_CURSO;IDIOMA;UNIDADES;MATRICULADOS
2018;3000047;CEIP LA RAMBLA;PUB;P;PÚBLICO;PÚBLIC;DE ALCOY S/N;AGOST;2;AGOST;3;ALICANTE;ALACANT;1;EDUCACIÓN INFANTIL;EDUCACIÓ INFANTIL;3INF;O;1;25
2018;3000047;CEIP LA RAMBLA;PUB;P;PÚBLICO;PÚBLIC;DE ALCOY S/N;AGOST;2;AGOST;3;ALICANTE;ALACANT;1;EDUCACIÓN INFANTIL;EDUCACIÓ INFANTIL;4INF;O;1;21
2018;3000047;CEIP LA RAMBLA;PUB;P;PÚBLICO;PÚBLIC;DE ALCOY S/N;AGOST;2;AGOST;3;ALICANTE;ALACANT;1;EDUCACIÓN INFANTIL;EDUCACIÓ INFANTIL;5INF;O;1;19
2018;3000047;CEIP LA RAMBLA;PUB;P;PÚBLICO;PÚBLIC;DE ALCOY S/N;AGOST;2;AGOST;3;ALICANTE;ALACANT;2;EDUCACIÓN PRIMARIA;EDUCACIÓ PRIMÀRIA;1PRI;O;1;26
2018;3000047;CEIP LA RAMBLA;PUB;P;PÚBLICO;PÚBLIC;DE ALCOY S/N;AGOST;2;AGOST;3;ALICANTE;ALACANT;2;EDUCACIÓN PRIMARIA;EDUCACIÓ PRIMÀRIA;2PRI;O;1;22
2018;3000047;CEIP LA RAMBLA;PUB;P;PÚBLICO;PÚBLIC;DE ALCOY S/N;AGOST;2;AGOST;3;ALICANTE;ALACANT;2;EDUCACIÓN PRIMARIA;EDUCACIÓ PRIMÀRIA;3PRI;V;2;34
2018;3000047;CEIP LA RAMBLA;PUB;P;PÚBLICO;PÚBLIC;DE ALCOY S/N;AGOST;2;AGOST;3;ALICANTE;ALACANT;2;EDUCACIÓN PRIMARIA;EDUCACIÓ PRIMÀRIA;4PRI;C;2;34
2018;3000047;CEIP LA RAMBLA;PUB;P;PÚBLICO;PÚBLIC;DE ALCOY S/N;AGOST;2;AGOST;3;ALICANTE;ALACANT;2;EDUCACIÓN PRIMARIA;EDUCACIÓ PRIMÀRIA;5PRI;C;2;35
2018;3000047;CEIP LA RAMBLA;PUB;P;PÚBLICO;PÚBLIC;DE ALCOY S/N;AGOST;2;AGOST;3;ALICANTE;ALACANT;2;EDUCACIÓN PRIMARIA;EDUCACIÓ PRIMÀRIA;6PRI;C;1;27
2018;3000060;CENTRE PRIVAT LA MILAGROSA;PRI;C;CONCERTADO;CONCERTAT;JUAN XXIII 2;AGOST;2;AGOST;3;ALICANTE;ALACANT;1;EDUCACIÓN INFANTIL;EDUCACIÓ INFANTIL;3INF;O;1;15
