,COD_PROVINCIA,NOM_PROVINCIA,COD_MUNICIPIO,TIPO,NOMBRE,DIRECCION,COD_POSTAL,TELEFONO,FAX,WEB,CATALOGO,EMAIL,CENTRAL,COD_CARACTER,DESC_CARACTER,DECRETO,LATITUDE,LONGITUDE
0,3,ALICANTE,10,AGENCIA DE LECTURA,AGENCIA DE LECTURA  ALFAFARA,CALLE SERRA DE MARIOLA Nº 1 PISO 1,", CP 03838", TELF.965510082 AYTO, FAX.965510271 AYTO, , ,ALFAFARA@ALFAFARA.ES,N,PU,PÚBLICA,N,38.7725497,-0.5550567
1,3,ALICANTE,101,BIBLIOTECA PUBLICA MUNICIPAL,BIBLIOTECA PUBLICA MUNICIPAL  PEDREGUER,CALLE GLORIETA DE LA CREU Nº 14 PISO 1,", CP 03750", TELF.966456200, FAX.966456776,HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0100,HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0100,BIBLIOTECA@PEDREGUER.ES,N,PU,PÚBLICA,N,38.7953278,0.0332729
2,3,ALICANTE,102,BIBLIOTECA PUBLICA MUNICIPAL,BIBLIOTECA PUBLICA MUNICIPAL  PEGO,CALLE SANT DOMENEC Nº 5,", CP 03780", TELF.965572801, FAX.965572583 AYTO,HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0113,HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0113,BIBLIOTECA@PEGO.ORG,N,PU,PÚBLICA,N,39.2011866,-0.3099469
3,3,ALICANTE,104,BIBLIOTECA PUBLICA MUNICIPAL,BIBLIOTECA PUBLICA MUNICIPAL POETA ENRIQUE AMAT PETRER,PLAZA FRANCISCO LOPEZ PINA Nº 4,", CP 03610", TELF.966955746, FAX.965376968 AYTO,HTTP://WWW.PETRER.ES,HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0038,BIBLIOEA@PETRER.ES,N,PU,PÚBLICA,S,39.4840108,-0.7532808999999999
4,3,ALICANTE,104,BIBLIOTECA PUBLICA MUNICIPAL,BIBLIOTECA PUBLICA MUNICIPAL POETA PACO MOLLA PETRER,CALLE SAN BARTOLOME Nº 5,", CP 03610", TELF.966989415, FAX.965376968 AYTO,HTTP://WWW.PETRER.ES,HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0038,BIBLIOPM@PETRER.ES,S,PU,PÚBLICA,S,38.4197908,-0.3927523
5,3,ALICANTE,105,BIBLIOTECA PUBLICA MUNICIPAL,BIBLIOTECA PUBLICA MUNICIPAL MAXI BANEGAS PINÓS (EL),PASEO CONSTITUCION Nº 66,", CP 03650", TELF.965478329, FAX.965478208,HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0051,HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0051,BIBLIOPINOSO@HOTMAIL.COM,N,PU,PÚBLICA,S,41.6479179,-0.8821348999999999
6,3,ALICANTE,106,OTRAS PÚBLICAS,OTRAS PÚBLICAS CURIAL I GÜELFA PLANES,CALLE JAUME I Nº 3,", CP 03828", TELF.965514038 AYTO, FAX.965514208, , ,PLANES@DIP-ALICANTE.ES,N,PU,PÚBLICA,N,39.4520821,-0.4676389
7,3,ALICANTE,107,AGENCIA DE LECTURA,AGENCIA DE LECTURA  POLOP,CALLE POSIT Nº 20,", CP 03520", TELF.966895540, FAX.966895441 AYTO,HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0140,HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0140,POLOP_BIB@GVA.ES,N,PU,PÚBLICA,N,38.6216341,-0.1270333
8,3,ALICANTE,109,OTRAS PÚBLICAS,OTRAS PÚBLICAS  RAFAL,CALLE DIPUTACIÓN PROVINCIAL DE ALICANTE Nº 5,", CP 03369", TELF.966752362, FAX.966752572 AYTO, , ,MSQB28@HOTMAIL.COM  / RAFAL@DIP-ALICANTE.ES,N,PU,PÚBLICA,N,38.1839924,-0.8700401
9,3,ALICANTE,11,BIBLIOTECA PUBLICA MUNICIPAL,BIBLIOTECA PUBLICA MUNICIPAL VICENT ANDRES ESTELLES ALFÀS DEL PI (L'),PLAZA JUAN CARLOS I Nº S/N,", CP 03580", TELF.965889423/24, FAX.965889453,HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0014,HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0014,BIBALFAS@TELEFONICA.NET,N,PU,PÚBLICA,N,39.4840108,-0.7532808999999999
10,3,ALICANTE,110,AGENCIA DE LECTURA,AGENCIA DE LECTURA  RÀFOL D'ALMÚNIA (EL),CALLE SEGARIA Nº 12 PISO 1,", CP 03769", TELF.966668426, , , ,BIBLIOTECA@RAFOL.ORG,N,PU,PÚBLICA,N,38.8444994,0.008289699999999999
11,3,ALICANTE,111,BIBLIOTECA PUBLICA MUNICIPAL,BIBLIOTECA PUBLICA MUNICIPAL  REDOVÁN,CALLE SAN JERÓNIMO Nº 1 PISO 2,", CP 03370", TELF.966754263, FAX.966754213 AYTO, , ,BIBLIOTECAREDOVAN@HOTMAIL.COM,N,PU,PÚBLICA,N,39.43650239999999,-0.4693519
12,3,ALICANTE,113,BIBLIOTECA PUBLICA MUNICIPAL,BIBLIOTECA PUBLICA MUNICIPAL MIGUEL ORTEGA ROJALES,CALLE ZULAIDA Nº 20,", CP 03170", TELF.966712038, , , , ,N,PU,PÚBLICA,N,38.0869097,-0.7211924
13,3,ALICANTE,114,AGENCIA DE LECTURA,AGENCIA DE LECTURA GÓMEZ NAVARRO ROMANA (LA),CALLE CERVANTES Nº 8,", CP 03669", TELF.965696738/965696467, , , , ,N,PU,PÚBLICA,N,38.3448252,-0.4809634
14,3,ALICANTE,116,AGENCIA DE LECTURA,AGENCIA DE LECTURA  SALINAS,CALLE COMPARSA DE MOROS LAGUNEROS Nº S/N,", CP 03638", TELF.965479001 AYTO, FAX.966973001 AYTO,HTTP://WWW.SALINAS.ES/SERVICIOS-AL-CIUDADANO/BIBLIOTECA-MUNICIPAL, ,BIBLIOTECA@SALINAS.ES,N,PU,PÚBLICA,N,39.4840108,-0.7532808999999999
15,3,ALICANTE,117,OTRAS PÚBLICAS,OTRAS PÚBLICAS  SANET Y NEGRALS,CALLE MAYOR Nº S/N,", CP 03769", TELF.966408208 AYTO, FAX.966408147 AYTO, , , ,N,PU,PÚBLICA,N,39.4740331,-0.4146675
16,3,ALICANTE,118,OTRAS PÚBLICAS,OTRAS PÚBLICAS  SAN FULGENCIO,CALLE LEPANTO Nº 9,", CP 03177", TELF.966794518, FAX.966794430 AYTO,HTTP://WWW.BIBLIOTECASPUBLICAS.ES/SANFULGENCIO/, ,CENTROCIVICO@AYTO-SANFULGENCIO.ES,N,PU,PÚBLICA,N,38.5390461,-0.1198303
17,3,ALICANTE,119,BIBLIOTECA UNIVERSITARIA,BIBLIOTECA UNIVERSITARIA CIENCIAS DE LA SALUD-UNIVERSIDAD MIGUEL HERNÁNDEZ SANT JOAN D'ALACANT,"CARRETERA DE VALENCIA KM,87 C. SANT JOAN D'ALACANT",", CP 03550", TELF.965919328, FAX.965919502,HTTP://WWW.UMH.ES/BIBLIOTECAS/,HTTP://WWW.UMH.ES/BIBLIOTECAS/CATALOGO/,BIBLIO.CCSALUD@UMH.ES,N,PU,PÚBLICA,N,38.4007388,-0.4287509
18,3,ALICANTE,119,BIBLIOTECA PUBLICA MUNICIPAL,BIBLIOTECA PUBLICA MUNICIPAL  SANT JOAN D'ALACANT,AVENIDA RAMBLA DE LA LLIBERTAT Nº 22,", CP 03550", TELF.966389740, FAX.965650360,HTTP://WWW.BIBLIOTECASPUBLICAS.ES/SANTJOANDALACANT,HTTP://WWW.BIBLIOTECASPUBLICAS.ES/SANTJOANDALACANT/CATALOGO_ENLINEA.JSP,BIBLIOTECA@SANTJOANDALACANT.ES,N,PU,PÚBLICA,S,41.9837022,2.8239713
19,3,ALICANTE,12,AGENCIA DE LECTURA,AGENCIA DE LECTURA  ALGORFA,CALLE CONSTITUCION Nº 35,", CP 03169", TELF.966781637, FAX.966780010 AYTO,HTTP://WWW.BIBLIOTECASPUBLICAS.ES/ALGORFA/INDEX.JSP,HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0156,BIBLIO-ALGORFA@HOTMAIL.ES,N,PU,PÚBLICA,S,38.9477665,-0.1946812
