COD_PROVINCIA;NOM_PROVINCIA;COD_MUNICIPIO;TIPO;NOMBRE;DIRECCION;COD_POSTAL;TELEFONO;FAX;WEB;CATALOGO;EMAIL;CENTRAL;COD_CARACTER;DESC_CARACTER;DECRETO
03;ALICANTE;10;AGENCIA DE LECTURA;AGENCIA DE LECTURA  ALFAFARA;CALLE SERRA DE MARIOLA Nº 1 PISO 1;, CP 03838; TELF.965510082 AYTO; FAX.965510271 AYTO; ; ;ALFAFARA@ALFAFARA.ES;N;PU;PÚBLICA;N
03;ALICANTE;101;BIBLIOTECA PUBLICA MUNICIPAL;BIBLIOTECA PUBLICA MUNICIPAL  PEDREGUER;CALLE GLORIETA DE LA CREU Nº 14 PISO 1;, CP 03750; TELF.966456200; FAX.966456776;HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0100;HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0100;BIBLIOTECA@PEDREGUER.ES;N;PU;PÚBLICA;N
03;ALICANTE;102;BIBLIOTECA PUBLICA MUNICIPAL;BIBLIOTECA PUBLICA MUNICIPAL  PEGO;CALLE SANT DOMENEC Nº 5;, CP 03780; TELF.965572801; FAX.965572583 AYTO;HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0113;HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0113;BIBLIOTECA@PEGO.ORG;N;PU;PÚBLICA;N
03;ALICANTE;104;BIBLIOTECA PUBLICA MUNICIPAL;BIBLIOTECA PUBLICA MUNICIPAL POETA ENRIQUE AMAT PETRER;PLAZA FRANCISCO LOPEZ PINA Nº 4;, CP 03610; TELF.966955746; FAX.965376968 AYTO;HTTP://WWW.PETRER.ES;HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0038;BIBLIOEA@PETRER.ES;N;PU;PÚBLICA;S
03;ALICANTE;104;BIBLIOTECA PUBLICA MUNICIPAL;BIBLIOTECA PUBLICA MUNICIPAL POETA PACO MOLLA PETRER;CALLE SAN BARTOLOME Nº 5;, CP 03610; TELF.966989415; FAX.965376968 AYTO;HTTP://WWW.PETRER.ES;HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0038;BIBLIOPM@PETRER.ES;S;PU;PÚBLICA;S
03;ALICANTE;105;BIBLIOTECA PUBLICA MUNICIPAL;BIBLIOTECA PUBLICA MUNICIPAL MAXI BANEGAS PINÓS (EL);PASEO CONSTITUCION Nº 66;, CP 03650; TELF.965478329; FAX.965478208;HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0051;HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0051;BIBLIOPINOSO@HOTMAIL.COM;N;PU;PÚBLICA;S
03;ALICANTE;106;OTRAS PÚBLICAS;OTRAS PÚBLICAS CURIAL I GÜELFA PLANES;CALLE JAUME I Nº 3;, CP 03828; TELF.965514038 AYTO; FAX.965514208; ; ;PLANES@DIP-ALICANTE.ES;N;PU;PÚBLICA;N
03;ALICANTE;107;AGENCIA DE LECTURA;AGENCIA DE LECTURA  POLOP;CALLE POSIT Nº 20;, CP 03520; TELF.966895540; FAX.966895441 AYTO;HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0140;HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0140;POLOP_BIB@GVA.ES;N;PU;PÚBLICA;N
03;ALICANTE;109;OTRAS PÚBLICAS;OTRAS PÚBLICAS  RAFAL;CALLE DIPUTACIÓN PROVINCIAL DE ALICANTE Nº 5;, CP 03369; TELF.966752362; FAX.966752572 AYTO; ; ;MSQB28@HOTMAIL.COM  / RAFAL@DIP-ALICANTE.ES;N;PU;PÚBLICA;N
03;ALICANTE;11;BIBLIOTECA PUBLICA MUNICIPAL;BIBLIOTECA PUBLICA MUNICIPAL VICENT ANDRES ESTELLES ALFÀS DEL PI (L');PLAZA JUAN CARLOS I Nº S/N;, CP 03580; TELF.965889423/24; FAX.965889453;HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0014;HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0014;BIBALFAS@TELEFONICA.NET;N;PU;PÚBLICA;N
