Instituto,Localidad,Presentados,Aptos,Media Expediente,Media PAU
CENTRE PRIVAT LA PURÍSIMA,ALZIRA,34,34,7.9,6.6
IES REI EN JAUME,ALZIRA,59,56,7.6,6.2
IES JOSÉ MARÍA PARRA,ALZIRA,39,36,7,5.2
CENTRE PRIVAT NUESTRA SEÑORA DE LA SALUD,ALGEMESÍ,30,30,8.2,7.1
IES SANT VICENT FERRER,ALGEMESÍ,30,30,8,7.1
IES BERNAT GUINOVART,ALGEMESÍ,44,42,7.4,6.4
IES FRANCESC GIL,CANALS,24,24,7.9,6.7
CENTRE PRIVAT MARÍA INMACULADA,CARCAIXENT,29,28,8,6.4
CENTRE PRIVAT SAN ANTONIO DE PADUA,CARCAIXENT,38,36,7.6,5.8
IES RICARDO MARÍN IBÁNEZ,CHESTE,25,25,8,6.8
CENTRO PRIVADO COLEGIO DE LEVANTE,CHIVA,13,13,8.2,6.3
CENTRE PRIVAT ESCOLÀPIES GANDIA,GANDIA,70,69,7.9,6.2
CENTRE PRIVAT REAL COLEGIO ESCUELAS PÍAS,GANDIA,62,62,8.1,6.7
IES AUSIÀS MARCH,GANDIA,36,36,7.7,6.5
IES MARÍA ENRÍQUEZ,GANDIA,104,101,7.4,5.9
CENTRE PRIVAT CLARET,XÀTIVA,47,47,7.5,6.2
IES JOSÉ DE RIBERA,XÀTIVA,124,112,7.8,5.8
IES JOSÉ RODRIGO BOTET,MANISES,31,30,7.7,6.1
CENTRE PRIVAT SAN JOSÉ DE LA MONTAÑA,OLIVA,20,17,7.2,4.9
IES GREGORI MAIANS,OLIVA,37,34,8,5.7
IES GABRIEL CÍSCAR,OLIVA,36,35,7.6,6.5
CENTRE PRIVAT LAS COLINAS,GANDIA,21,20,8.1,6
CENTRE PRIVAT MARÍA DE ICÍAR,RIBA-ROJA DE TURIA,3,1,6.5,3.3
CENTRE PRIVAT ASUNCIÓN DE NUESTRA SEÑORA,RIBA-ROJA DE TURIA,29,29,8.6,7.7
IES EDUARDO MERELLÓ,SAGUNT,33,32,7.2,5.7
IES JORGE JUAN,SAGUNT,20,18,7.1,5.2
CENTRE PRIVAT ADVENTISTA,SAGUNT,23,18,7.7,5.5
IES CLOT DEL MORO,SAGUNT,98,83,7.4,5.6
IES CAMP DE MORVEDRE,SAGUNT,73,70,7.6,6.5
IES JAUME II EL JUST,TAVERNES DE VALLDIGNA,51,48,7.7,6
CENTRE PRIVAT JULIO VERNE,TORRENT,27,27,8.4,7.1
CENTRE PRIVAT MADRE SACRAMENTO,TORRENT,19,19,7.3,5.7
CENTRE PRIVAT EL VEDAT,TORRENT,44,42,8.3,6.6
CENTRE PRIVAT NUESTRA SEÑORA DEL MONTE SIÓN,TORRENT,40,39,7.5,6.2
CENTRE PRIVAT LA PURÍSIMA ,TORRENT,30,29,7.3,5.9
IES TIRANT LO BLANC ,TORRENT,25,21,7.6,5.2
CENTRE PRIVAT ESCLAVAS DE MARÍA,VALÈNCIA,34,34,7.4,6.2
CENTRE PRIVAT JESÚS MARÍA,VALÈNCIA,81,79,7.7,6.4
CENTRE PRIVAT INMACULADO CORAZÓN DE MARÍA,VALÈNCIA,50,47,7.4,5.9
CENTRE PRIVAT SAN PEDRO PASCUAL,VALÈNCIA,63,63,8.1,6.7
CENTRE INTEGRAT LA PURÍSIMA-FRANCISCANAS,VALÈNCIA,39,37,8.2,6.2
CENTRE PRIVAT NUESTRA SEÑORA DE FÁTIMA,VALÈNCIA,31,29,8,6.2
CENTRE PRIVAT SAN JUAN BOSCO,VALÈNCIA,9,8,7.2,5.6
CENTRE PRIVAT SAGRADA FAMILIA,VALÈNCIA,51,49,8,6.5
CENTRE PRIVAT NUESTRA SEÑORA DEL PILAR,VALÈNCIA,122,120,8.1,6.6
CENTRE PRIVAT PUREZA DE MARÍA,VALÈNCIA,55,54,7.8,6.4
CENTRE PRIVAT ESCUELAS SAN JOSÉ (I. POLIT.),VALÈNCIA,110,105,7.6,6.2
IES JORDI DE SANT JORDI,VALÈNCIA,8,8,7.9,6.1
IES JUAN DE GARAY,VALÈNCIA,71,67,7.3,6.2
IES CID CAMPEADOR,VALÈNCIA,51,50,7.7,6.6
IES JOANOT MARTORELL,VALÈNCIA,51,48,7.5,5.9
IES EL CABANYAL,VALÈNCIA,67,64,7.7,6.5
CENTRE PRIVAT SALESIANOS-SAN JUAN BOSCO,VALÈNCIA,67,67,7.9,6.3
CENTRE PRIVAT AULA 3,VALÈNCIA,41,39,6.5,5.8
CENTRE PRIVAT SANTA TERESA DE JESÚS,TORRENT,80,78,7.6,6.4
IES FONT DE SANT LLUÍS,VALÈNCIA,40,39,7.4,6.5
IES TIRANT LO BLANC,GANDIA,37,37,8.1,6
IES DISTRICTE MARÍTIM,VALÈNCIA,82,80,7.8,6.1
IES SALVADOR GADEA,ALDAIA,67,67,7.7,6.3
IES LA VALLDIGNA,VALLDIGNA,27,26,7.9,6.1
IES LA MARXADELLA,TORRENT,43,42,7.6,6.2
IES GONZALO ANAYA,XIRIVELLA,24,21,7.9,5.6
CENTRE PRIVAT MARTÍ SOROLLA II,VALÈNCIA,44,41,8,6.3
CENTRE PRIVAT JUAN COMENIUS,VALÈNCIA,26,26,7.8,6.7
IES PERE BOÏL,MANISES,60,60,8.2,7.2
IES LA SÈNIA,PAIPORTA,27,26,8.1,6.3
IES RAMON LLULL,VALÈNCIA,43,42,7.7,6.9
CENTRE PRIVAT LOS NARANJOS,GANDIA,18,17,7.4,5.4
CENTRE PRIVAT GREGORI MAYANS I CISCAR,GANDIA,25,25,8,6.7
IES RAMON MUNTANER,XIRIVELLA,29,29,7.1,6.1
IES ENRIC VALOR,PICANYA,42,42,7.5,6.3
IES NÚMERO 26,VALÈNCIA,47,46,7.6,6.3
IES BALEARES,VALÈNCIA,19,19,7.7,6.5
IES DOCTOR LLUÍS SIMARRO LACABRA,XÀTIVA,32,31,7.4,6.1
